"file","md5_sum","number_of_objects","mean_size","sd_size","mean_intensity","sd_intensity","estimated_rejected","coverage"
"notebook/Images/analysis/1_000000_40x_Cy5_Grey=1000_Z=3509370_Well=A1_Ti=149999us_t=000173547ms.bmp","ff7ed898f27979e62bea6f9e3c4be69d",23,2804.78260869565,1090.61679615135,0.237129005686913,0.0457625421066258,0,0.0451659609266478
"notebook/Images/analysis/1_000007_40x_Cy5_Grey=1000_Z=3516170_Well=C1_Ti=149999us_t=000242390ms.bmp","b7d572f431dd33bc84c208229e82a983",111,1398.05405405405,1744.12541687198,0.275901396747997,0.0434151106652077,0,0.108650356230676
"notebook/Images/analysis/1_000013_40x_Cy5_Grey=1000_Z=3537210_Well=E1_Ti=149999us_t=000315500ms.bmp","4e6ce5d8f906b3117942edda11b974b1",311,855.131832797428,2011.10644686664,0.449483685542532,0.145324791966016,0,0.186199141909755
